1,4,191211,why do people always play clinkz in turbo,NOT
1,8,191211,ez bot,OFF
2,1,84581,pudgE?,NOT
2,1,84581,how you see lf?,NOT
2,1,84581,k pudge,NOT
2,1,84581,you get my report,OFF
2,5,84581,for what,NOT
2,1,84581,wall hack,NOT
2,1,84581,you get my report,OFF
2,5,84581,what,NOT
2,1,84581,good luck,NOT
2,5,84581,ITS FUCKING DUSTS,OFF
2,1,84581,enjoy vac ban,OFF
2,9,84581,g,NOT
2,9,84581,gogu* retart,OFF
2,7,84581,gg,NOT
2,1,84581,gg,NOT
2,0,84581,gg,NOT
3,2,254247,glhf,NOT
3,4,254247,?,NOT
3,1,254247,lag,NOT
3,1,254247,wait la,NOT
3,1,254247,Wtf?,NOT
3,1,254247,cant wait?,NOT
3,4,254247,ur not 9k,NOT
3,1,254247,ur r kid,OFF
3,2,254247,nice,NOT
3,2,254247,for what?,NOT
3,7,254247,?,NOT
3,4,254247,?,NOT
3,7,254247,?,NOT
3,6,254247,),NOT
3,1,254247,GG wp,NOT
3,2,254247,omg,NOT
3,1,254247,GG wp,NOT
3,5,254247,gg wp,NOT
3,1,254247,rubick just shhouting useless,OFF
4,4,283832,come again,NOT
4,2,283832,sss,NOT
4,3,283832,ezz tp,OFF
4,3,283832,),NOT
4,2,283832,gGG,NOT
4,2,283832,GG,NOT
4,2,283832,izi mid,OFF
4,2,283832,kunka,NOT
4,2,283832,ls,NOT
4,2,283832,GG,NOT
4,2,283832,GG,NOT
4,2,283832,GG,NOT
4,2,283832,GG,NOT
4,0,283832,gg wp,NOT
4,8,283832,gg wp,NOT
5,4,231182,buye,NOT
5,4,231182,:P,NOT
5,7,231182,))_)))),NOT
5,4,231182,WP,NOT
5,8,231182,)),NOT
5,0,231182,my team is 20 mmr all reunited tbh,NOT
5,0,231182,report PA ty,OFF
5,4,231182,gg,NOT
6,1,173416,?,NOT
6,5,173416,?,NOT
6,1,173416,no,NOT
6,1,173416,you pidar,NOT
6,1,173416,da da,NOT
6,1,173416,10 [g,NOT
6,1,173416,10 xh,NOT
6,1,173416,xp,NOT
6,1,173416,hp,NOT
6,1,173416,GG WP,NOT
6,1,173416,?,NOT
6,6,173416,EZ,OFF
